"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
436cf2e2-42c8-4cd3-932b-267d1944fc79,SBQQ__Quantity__c,Protected_Devices__c,1.0,32cba732-2e6f-4c8c-a70d-64ed8633c51c,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
43ff9633-8ea7-4dd8-a71b-7511ccfa1d54,SBQQ__Quantity__c,Protected_Devices__c,1.0,1598cc0c-932e-43c2-97dc-58b0bc34f863,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
57d96673-b0a8-4996-8288-6989bd7b81bc,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,68d50a9b-41ff-4fb1-8f9e-92c032a38549,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
666cbfa9-b9e5-4021-bb92-2ed371ddad31,Discount (%),"#N/A","#N/A",73aed175-b510-438f-a663-73f2df1248c3,"#N/A","#N/A",Quote Line,"#N/A",45
67e057ce-5e4d-4cd2-89e7-9fa83aa42bf3,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",37ea0301-4cbb-4d6e-8b42-2033f3502776,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
68dbf05b-42e2-4086-9386-349096ae5967,Discount (%),"#N/A","#N/A",6cfc34cf-91be-4ce9-a8ba-545a7c9b7724,"#N/A","#N/A",Quote Line,"#N/A",45
6f506fff-9e95-4ca1-a7bf-59f348d0a9f1,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",8468c0d8-c66c-4cb3-bbb9-ca71329a626a,"#N/A","#N/A",Quote,"#N/A",5
741975df-e30f-4e3a-bd8c-0e22d734d0a2,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,395ca465-7058-4788-8c8b-92855077143e,"#N/A","#N/A",Product Option,"#N/A","#N/A"
7decd956-0c4b-4e8c-ad50-1f76574c2c56,Unit Price,"#N/A","#N/A",0908ccf1-5396-40b1-8e3f-996621a3bd70,"#N/A","#N/A",Product Option,"#N/A",123
833756ac-88b8-46b3-92f2-e88574b54d07,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",74fc8bc2-e26f-4018-acd0-dfd23e280606,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
