"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
2635e8fc-82a9-4ae3-80aa-971429ebec9a,Bottom,"#N/A",0.0,false,"#N/A",d8123c7a-df05-48de-969c-1916d2f62c8c,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,0.0
62335d3e-31c9-4464-8ce3-5a8209620e52,Lines,"#N/A",0.0,false,"#N/A",ba978d48-23c9-49dc-aa5e-15eadbc7aa4b,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,0.0
8452a6ea-36f0-4201-82fe-e30c40fd311f,Top,"#N/A",0.0,false,"#N/A",12bcf030-bfbb-4c2c-9be0-3ec8bb01f4a0,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,0.0
857535be-07d9-4d8f-96cd-d2477cb19b0d,Lines,"#N/A",0.0,false,"#N/A",e32afcd2-e8ae-424b-aa38-76b817075f9e,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,0.0
cf7a08f9-58c2-44ce-a054-f83f7be388d6,Top,"#N/A",0.0,false,"#N/A",64669cf0-e820-452b-955a-3ea864250430,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,0.0
d028fdb9-7f3f-45b9-bfcc-70835a05f11e,Bottom,"#N/A",0.0,false,"#N/A",9dcb3ee2-b5bd-4039-960d-7f16b50da00c,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,0.0
